ca_neueslander_2;Neueslander Soldaten;;;;;;;;;x
ca_neueslander_3;Neueslander Soldaten;;;;;;;;;x
ca_neueslander_4;Neueslander Soldaten;;;;;;;;;x
ca_neueslander_1_desc;While technically not having an Elector-County of their own, the Neueslanders are a proud people, a melting-pot of Imperial cultures that have fused together. Incorprating many different military traditions, Neueslander armies are powerful and flexiable threats to any would be invaders.;;;;;;;;;x
ca_neueslander2_1;Neue Towns;;;;;;;;;x
ca_neueslander2_2;Neue Towns;;;;;;;;;x
ca_neueslander2_3;Neue Towns;;;;;;;;;x
ca_neueslander2_4;Neue Towns;;;;;;;;;x
ca_neueslander2_1_desc;The 'Neue' towns of the border princedoms are impressive centers of trade in their own right, encompassing large amounts of different cultures and faiths, these towns can amass great wealth and influence if properly protected.;;;;;;;;;x
ca_neueslander3_1;Rough Riders;;;;;;;;;x
ca_neueslander3_2;Rough Riders;;;;;;;;;x
ca_neueslander3_3;Rough Riders;;;;;;;;;x
ca_neueslander3_4;Rough Riders;;;;;;;;;x
ca_neueslander3_1_desc;Rough Riders are semi-professional cavalry units that patrol the borders of Neueslander lands searching for Bandits, Greenskins, and Beastmen. Due to the large amount of Neueslanders in the Border Princedoms, they commonly fight Greenskins, and have become experts at killing the beasts.;;;;;;;;;x
ca_neueslander_pistoliers_1;Pistolier Outposts;;;;;;;;;x
ca_neueslander_pistoliers_2;Pistolier Outposts;;;;;;;;;x
ca_neueslander_pistoliers_3;Pistolier Outposts;;;;;;;;;x
ca_neueslander_pistoliers_4;Pistolier Outposts;;;;;;;;;x
ca_neueslander_pistoliers_1_desc;Neueslander Pistoliers are drawn from the best of the Rough Riders, armed with pistols, they serve as the vanguard to the armies in the borderlands, always making sure they can fire their pistols into exactly where their enemies want them least.;;;;;;;;;x
#
# SUDENBURG CASTLE
#
ca_sudcastle_1;Imperial Palace;;;;;;;;;x
ca_sudcastle_2;Imperial Palace;;;;;;;;;x
ca_sudcastle_3;Imperial Palace;;;;;;;;;x
ca_sudcastle_4;Imperial Palace;;;;;;;;;x
ca_sudcastle_5;Imperial Palace;;;;;;;;;x
ca_sudcastle_6;Imperial Palace;;;;;;;;;x
ca_sudcastle_1_desc;The Imperials of the Southlands are an interesting mix of Westerland and Medean cultures, having adopted the wares and cuisines of the Medeans, while keeping their Imperial roots. This means that the Sudenburgers are masters of bureaucracy, and have a certain regalness that is present even in their peasants.;;;;;;;;;x
ca_fruitplant_1;Exotic Fruit Plantation;;;;;;;;;x
ca_fruitplant_2;Exotic Fruit Plantation;;;;;;;;;x
ca_fruitplant_3;Exotic Fruit Plantation;;;;;;;;;x
ca_fruitplant_4;Exotic Fruit Plantation;;;;;;;;;x
ca_fruitplant_1_desc;In the Southlands and Araby, there are countless different exotic fruits that remain untapped by the local population. We can 'persuade' the locals to allow us to harvest the fruits and then sell them through out realm and to others for expensive prices to fill our coffers.;;;;;;;;;x
ca_houseofknowledge_1;House of Knowledge;;;;;;;;;x
ca_houseofknowledge_2;House of Knowledge;;;;;;;;;x
ca_houseofknowledge_3;House of Knowledge;;;;;;;;;x
ca_houseofknowledge_4;House of Knowledge;;;;;;;;;x
ca_houseofknowledge_1_desc;The house of Knowledge is the center of learning for the palaces of the Sudenburgers, housing hundreds, sometimes thousands of different books, with topics ranging from science to mathematics, and even local epics wrote down onto paper.;;;;;;;;;x
ca_sudfreecorps_1;Sudenland Free Companies;;;;;;;;;x
ca_sudfreecorps_2;Sudenland Free Companies;;;;;;;;;x
ca_sudfreecorps_3;Sudenland Free Companies;;;;;;;;;x
ca_sudfreecorps_4;Sudenland Free Companies;;;;;;;;;x
ca_sudfreecorps_1_desc;Unlike the Imperial free companies of the homeland, Sudenland free companies are actually professional soldiers that are given terms, and live near a ruler's palace. They are better trained and equipped than the stock Imperial companies, and are the mainstay of any Sudenburger army.;;;;;;;;;x
ca_sudinf_focus_1;Infantry Focus;;;;;;;;;x
ca_sudinf_focus_1_desc;This castle has set it's focus to fielding Infantry Companies.;;;;;;;;;x
ca_sudcalv_focus_1;Cavalry Focus;;;;;;;;;x
ca_sudcalv_focus_1_desc;This castle has set it's focus to fielding Cavalry Companies.;;;;;;;;;x
ca_sudinfcorps_1;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_2;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_3;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_4;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_5;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_6;Satrap Infantry Companies;;;;;;;;;x
ca_sudinfcorps_1_desc;Thanks to this holding's focus, it is providing Satrap Infantry Companies for our armies.;;;;;;;;;x
ca_sudcalvcorps_1;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_2;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_3;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_4;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_5;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_6;Satrap Cavalry Companies;;;;;;;;;x
ca_sudcalvcorps_1_desc;Thanks to this holding's focus, it is providing Satrap Cavalry Companies for our armies.;;;;;;;;;x
ca_sudgunner_1;Gunpowder Focus;;;;;;;;;x
ca_sudgunner_1_desc;This castle has set it's focus to fielding Gunpowder Companies.;;;;;;;;;x
ca_sudgunnercorps_1;Gunner Companies;;;;;;;;;x
ca_sudgunnercorps_2;Gunner Companies;;;;;;;;;x
ca_sudgunnercorps_3;Gunner Companies;;;;;;;;;x
ca_sudgunnercorps_4;Gunner Companies;;;;;;;;;x
ca_sudgunnercorps_1_desc;Thanks to this holding's focus, it is providing Gunpowder Companies for our armies.;;;;;;;;;x
ca_sudartillery_1;Artillery Focus;;;;;;;;;x
ca_sudartillery_1_desc;This castle has set it's focus to fielding Artillery Companies.;;;;;;;;;x
ca_sudartillerycorps_1;Artillery Companies;;;;;;;;;x
ca_sudartillerycorps_2;Artillery Companies;;;;;;;;;x
ca_sudartillerycorps_3;Artillery Companies;;;;;;;;;x
ca_sudartillerycorps_4;Artillery Companies;;;;;;;;;x
ca_sudartillerycorps_1_desc;Thanks to this holding's focus, it is providing Artillery regiments for our armies.;;;;;;;;;x
ca_sudelephant_1;War Elephant Focus;;;;;;;;;x
ca_sudelephant_1_desc;This castle has set it's focus to fielding War Elephant Companies.;;;;;;;;;x
ca_sudelephantcorps_1;War Elephant Companies;;;;;;;;;x
ca_sudelephantcorps_2;War Elephant Companies;;;;;;;;;x
ca_sudelephantcorps_3;War Elephant Companies;;;;;;;;;x
ca_sudelephantcorps_4;War Elephant Companies;;;;;;;;;x
ca_sudelephantcorps_1_desc;Thanks to this holding's focus, it is providing War Elephant Companies for our armies.;;;;;;;;;x
#
# SUDENBURG CITY BUILDINGS
#
ct_sudfreecorps_1;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_2;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_3;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_4;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_5;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_6;Sudenland Free Companies;;;;;;;;;x
ct_sudfreecorps_1_desc;Unlike the Imperial free companies of the homeland, Sudenland free companies are actually professional soldiers that are given terms, and live near a ruler's palace. They are better trained and equipped than the stock Imperial companies, and are the mainstay of any Sudenburger army.;;;;;;;;;x
#
# KISLEVITE BUILDINGS
#
wonder_kislev;Kislev;;;;;;;;;x,,,,
wonder_kislev_desc;The large and well developed city of Kislev is home to the Tzars of Kislev who rule over their empire from the Palace Gospodarin located in the heart of this grand city. As with the entire Empire of Kislev, the city remains under constant threat from Norscans and Chaos forces lurking to the north. Despite this constant menace, the city of Kislev has never fallen to an invading army yet, standing strong against countless sieges while the surrounding countryside burns. The Ungol and Gospodarian people who live here are a hardy folk, their horsemanship and combat skills forever tempered by raids coming down from the north which has enabled the Tzars to field one of the most fearsome mounted armies in the Old World.;;;;;;;;;x
wonder_praag;Praag;;;;;;;;;;;;x
wonder_praag_desc;The fortress city of Praag is one of the few permanent settlements of the Ungol people, serving as their de facto capital, and the northernmost bastion of civilization in the Old World. Due to the city's unfavorable position, Praag has been forced to endure near constant raids by the Chaos-worshipping Kurgans and the savage Norscans for centuries. Though the majority of these raids are a minor inconvenience dispersed by raising a pulk of horsemen from the barracks, several networks of walls have been constructed concentrically around the city kreml with far more serious threats in mind.;;;;;;;;;;;;x
wonder_erengrad;Erengrad;;;;;;;;;;;;x
wonder_erengrad_desc;Located where the river Lynsk meets the Sea of Claws, Erengrad is the most important trading city in the region of Kislev, and the second largest port in the north after Marienburg. Much of the city's wealth and status are a result of the lucrative trade in gems and silver with the more civilized peoples of Norsca, many of the goods eventually flowing from Erengrad to the Empire, or even further afield. Despite this enormous inflow of wealth, the city spends any spare coin constantly updating their defenses to the most modern standards, largely preventing Erengrad's burghers from spending on the frivolities that define Marienburg and the Tilea's trade cities.;;;;;;;;;;;;x
ca_gospodar_military;Gospodar Influences;;;;;;;;;;;;;x
ca_gospodar_military_desc;The neighbouring stanitsas hold ancient traditions of Gospodar tribes and fight from horseback as winged lancers.;;;;;;;;;;;;;x
ca_ungol_military;Ungol Influences;;;;;;;;;;;;;x
ca_ungol_military_desc;The Ungol influences in neighbouring stanitsas are strong. The people here tend to fight in Ungol style as horse archers.;;;;;;;;;;;;;x
ca_ropsmann_military;Ropsmann Influences;;;;;;;;;x
ca_ropsmann_military_desc;The neighbouring stanitsas hold ancient traditions of Ropsmann tribes and fight on the ground as a tribal unit.;;;;;;;;;;;;;x
ca_stanitsa_1;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_2;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_3;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_4;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_5;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_6;Stanitsa;;;;;;;;;;;;;x
ca_stanitsa_1_desc;A sizeable Kislev settlement, large enough to raise multiple rotas of horse archers, kossars, or winged lancers every year;;;;;;;;;;;;;x
ca_prospekt_1;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_2;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_3;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_4;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_5;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_6;Kommercheskiy Prospekt;;;;;;;;;;;;;x
ca_prospekt_1_desc;The Kommercheskiy Prospekt, is a market street. Where Kislevites meet to share gossip and buy each others wares.;;;;;;;;;;;;;x
ca_kislevite_barracks_1;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_2;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_3;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_4;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_5;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_6;Kossar Barracks;;;;;;;;;;;;;x
ca_kislevite_barracks_desc;A Barracks for Kossar Pulks recruited from nearby Stanitsas. In Tsarist Kislev, the Kossars are a separate class of peasant-warriors, who even in peacetime maintain a military organization and are ready to go to war with no mobilization period.;;;;;;;;;;;;;x
ca_streltsi_1;Gospodar Streltsi;;;;;;;;;x
ca_streltsi_2;Gospodar Streltsi;;;;;;;;;x
ca_streltsi_3;Gospodar Streltsi;;;;;;;;;x
ca_streltsi_4;Gospodar Streltsi;;;;;;;;;x
ca_streltsi_desc;Streltsi Polks are raised here, armed with great axes and black powder weapons.;;;;;;;;;x
ca_ungolinf_1;Ungol Polks;;;;;;;;;x
ca_ungolinf_2;Ungol Polks;;;;;;;;;x
ca_ungolinf_3;Ungol Polks;;;;;;;;;x
ca_ungolinf_4;Ungol Polks;;;;;;;;;x
ca_ungolinf_desc;Ungol Polks are trained here, fighting in the ancient traditions of the Ungol tribes.;;;;;;;;;x
ca_ropsmanninf_1;Ropsmann Polks;;;;;;;;;x
ca_ropsmanninf_2;Ropsmann Polks;;;;;;;;;x
ca_ropsmanninf_3;Ropsmann Polks;;;;;;;;;x
ca_ropsmanninf_4;Ropsmann Polks;;;;;;;;;x
ca_ropsmanninf_desc;Ropsmann Polks are trained here, fighting in the ancient traditions of the Ropsmann tribes.;;;;;;;;;x
ca_kislevite_stable_1;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_2;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_3;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_4;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_5;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_6;Winged Lancers Rally Place;;;;;;;;;;;;;x
ca_kislevite_stable_desc;The people of the neighbouring stanitsas provides this castle with rotas of winged lancers.;;;;;;;;;;;;;x
ca_ungol_stable_1;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_2;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_3;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_4;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_5;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_6;Horse Archers Rally Point;;;;;;;;;;;;;x
ca_ungol_stable_desc;The people of the neighbouring stanitsas provides this castle with bands of horse archers.;;;;;;;;;;;;;x
ca_ropsmann_stable_1;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_2;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_3;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_4;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_5;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_6;Ropsmann Yurtas;;;;;;;;;x
ca_ropsmann_stable_desc;Here Ropsmann pike units are trained and raised, fighting in the ancient traditions of the Ropsmann tribes.;;;;;;;;;x
ca_boyarin_estates_1;Boyarin Sosloviye;;;;;;;;;x
ca_boyarin_estates_2;Boyarin Sosloviye;;;;;;;;;x
ca_boyarin_estates_3;Boyarin Sosloviye;;;;;;;;;x
ca_boyarin_estates_4;Boyarin Sosloviye;;;;;;;;;x
ca_boyarin_estates_1_desc;The Boyars are the middle-rank nobility of Kislev, the nobles who hold real power. They are all Gospodars and the rank is universally hereditary. A recent trend is for boyars to keep a home in one of Kislev's cities, but there are still a substantial number of traditional holdouts across the Oblast.;;;;;;;;;x
ct_riddle_men_1;Riddle-Men;;;;;;;;;;;;;x
ct_riddle_men_2;Riddle-Men;;;;;;;;;;;;;x
ct_riddle_men_3;Riddle-Men;;;;;;;;;;;;;x
ct_riddle_men_desc;Most people living in the oblast do not travel to the Tirsa. Especially during the Raspotitsa, the sphere of their world is often restricted to their immediate location. On the rare occasion Kislevites do journey to the cities, they rely on "Riddle-Men" - city guides who help travelers through unknown or unfamiliar locations;;;;;;;;;;;;;x
ct_burmistrz_zal_1;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_2;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_3;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_4;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_5;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_6;Burmistrz Zal;;;;;;;;;;;;;x
ct_burmistrz_zal_desc;The main meeting hall of the Tirsa, where the mayor conducts his business.;;;;;;;;;;;;;x
ct_rota_1;City Rota;;;;;;;;;;;;;x
ct_rota_2;City Rota;;;;;;;;;;;;;x
ct_rota_3;City Rota;;;;;;;;;;;;;x
ct_rota_4;City Rota;;;;;;;;;;;;;x
ct_rota_5;City Rota;;;;;;;;;;;;;x
ct_rota_6;City Rota;;;;;;;;;;;;;x
ct_rota_desc;Where the men of other nations might only fight when their own lives are threatened, Kislevites have a strong bond with the land and its people, and the idea of invaders despoiling their homeland is abhorrent to them. It is considered a great honour to fight for Kislev, and there is no shortage of brave young men who seek glory and honour as a horse archer or lancer.;;;;;;;;;;;;;x
ct_tirsa_1;Tirsa;;;;;;;;;;;;;x
ct_tirsa_2;Tirsa;;;;;;;;;;;;;x
ct_tirsa_3;Tirsa;;;;;;;;;;;;;x
ct_tirsa_4;Tirsa;;;;;;;;;;;;;x
ct_tirsa_5;Tirsa;;;;;;;;;;;;;x
ct_tirsa_6;Tirsa;;;;;;;;;;;;;x
ct_tirsa_desc;The people are led by a hetman, a man who has displayed the qualities of a warrior and leader and whom the villagers respect. Where the title of boyarin is passed from father to his offspring, the hetman of a village earns his place, whether he seeks such office or not. The hetman must see his village through times both good and bad and rule his people with wisdom and courage. He will command the defences of his village should it come under attack from raiders.;;;;;;;;;;;;;x
#
# KISLEV TRIBAL BUILDINGS
#
tb_kislevite_stable_1;Winged Lancers Rally;;;;;;;;;;;;;x
tb_kislevite_stable_2;Winged Lancers Rally;;;;;;;;;;;;;x
tb_kislevite_stable_3;Winged Lancers Rally;;;;;;;;;;;;;x
tb_kislevite_stable_4;Winged Lancers Rally;;;;;;;;;;;;;x
tb_kislevite_stable_desc;The people of the neighbouring settlements provides this castle with rotas of winged lancers.;;;;;;;;;;;;;x
tb_ropsmann_military;Ropsmann Influences;;;;;;;;;x
tb_ropsmann_military_desc;The tribe hold ancient traditions of Ropsmann and fight on the ground as a tribal unit.;;;;;;;;;;;;;x
tb_steppe_stable_1;Riding Grounds;;;;;;;;;;;;;x
tb_steppe_stable_2;Riding Grounds;;;;;;;;;;;;;x
tb_steppe_stable_3;Riding Grounds;;;;;;;;;;;;;x
tb_steppe_stable_4;Riding Grounds;;;;;;;;;;;;;x
tb_steppe_stable_desc;The steppe is ideal for warfare on horseback, and the nomadic marauders of these lands know to press this advantage. These riding ground extra light cavalry and horse archers;;;;;;;;;;;;;x
#
# LIZARDMAN UNIQUE BUILDINGS
#
tr_hexoatl;City of the Sun;;;;;;;;;;;;;x
tr_itza;The First City;;;;;;;;;;;;;x
tr_tlaxtlan;City of the Moon;;;;;;;;;;;;;x
tr_xlanhuapec;City of Mists;;;;;;;;;;;;;x
ca_hexoatl;City of the Sun;;;;;;;;;;;;;
ca_itza;The First City;;;;;;;;;;;;;
ca_tlaxtlan;City of the Moon;;;;;;;;;;;;;
ct_xlanhuapec;City of Mists;;;;;;;;;;;;;
ca_hexoatl_desc;Hexoatl, the City of the Sun, is the most northerly temple-city in Lustria, located on the Isthmus of Pahaux. As such, it is the first line of defence against armies invading Lustria from the north. It is the most martial temple-city, defended with high walls and surrounded by an energy shield.;;;;;;;;;;;;;
ca_itza_desc;Itza, the First City, is the oldest Temple-City of the Lizardmen. During the Great Catastrophe the city was ravaged by the forces of Chaos and was only saved through the sacrifice made by the Venerable Lord Kroak, the renowned Slann Mage-Priest. Summoning the Deliverance of Itza, he banished every daemon in the city, but in doing so seared all other spells from his mind.;;;;;;;;;;;;;
ca_tlaxtlan_desc;Tlaxtlan, known as the City of the Moon, was once renowned for its astromancers and prognosticators. They observed the moon and the stars in order to make accurate predictions of future events. However with the Great Catastrophe and the appearance of the second moon in the skies above Tlaxtlan their powers waned, as the mone is comprised of pure Chaos and did not obey the laws of the universe, which governed the original moons orbit.;;;;;;;;;;;;;
ct_xlanhuapec_desc;Xlanhuapec, known as the City of the Mists, was the second city-temple to be built. It is perpetually shrouded in thick mist, so much so one can travel through the entirety of the city without realizing of its existance.;;;;;;;;;;;;;
ca_tlanqua;The Sea Temple;;;;;;;;;;;;;
ca_tlanqua_desc;Tlaqua has survived isolated from the inland Lizardmen outposts of the Southlands. Many generations of fierce Skink Priests strenously defended its ruined borders from the younger species during the course of the ages, successfully repelling hordes of Beastmen, Greenskins, Undead and Humans.;;;;;;;;;;;;;
#
# LIZARDMAN BUILDINGS
#
tb_ruincity_1;Ruin-city;;;;;;;;x
tb_ruincity_2;Ruin-city;;;;;;;;x
tb_ruincity_3;Ruin-city;;;;;;;;x
tb_ruincity_4;Ruin-city;;;;;;;;x
tb_ruincity_5;Ruin-city;;;;;;;;x
tb_ruincity_6;Ruin-city;;;;;;;;x
tb_ruincity_desc;Long ago, These lands were filled with ancient structures devoted to the Old Ones, our masters. While they are long gone, their cities that they built for us remain, a testiment to our will to carry out their orders. Perhaps with enough time, we can restore these lands to what they once were.;;;;;;;;x
tb_skinkarmory_1;Skink Armory;;;;;;;;x
tb_skinkarmory_2;Skink Armory;;;;;;;;x
tb_skinkarmory_3;Skink Armory;;;;;;;;x
tb_skinkarmory_4;Skink Armory;;;;;;;;x
tb_skinkarmory_desc;Our lands are ever threatened by the arrogant, younger races whom wish to impede our masters' plans. We must arm ourselves if we are to carry out our sacred orders.;;;;;;;;x
tb_skinkcustodians_1;Skink Custodians;;;;;;;;x
tb_skinkcustodians_2;Skink Custodians;;;;;;;;x
tb_skinkcustodians_3;Skink Custodians;;;;;;;;x
tb_skinkcustodians_4;Skink Custodians;;;;;;;;x
tb_skinkcustodians_desc;We must not forget our place and purpose, the reason we were put on this world, and what our orders are, something that only the Custodian Skinks can do.;;;;;;;;x
tb_sauriwarriors_1;Saurus Warriors;;;;;;;;x
tb_sauriwarriors_2;Saurus Warriors;;;;;;;;x
tb_sauriwarriors_3;Saurus Warriors;;;;;;;;x
tb_sauriwarriors_4;Saurus Warriors;;;;;;;;x
tb_sauriwarriors_desc;While our ruins may lack a spawning pool that the more developed Pyramid-cities and Temple-cities have, we can still deploy Saurus warriors for our armies to act as elite troops.;;;;;;;;x
tb_oldidol_1;Ruined Idols;;;;;;;;x
tb_oldidol_2;Refurbished Idols;;;;;;;;x
tb_oldidol_1_desc;The Great Old Ones are gone, but their imagery and relics are not, and our Skink scouts have managed to collect some ruined relics from a long lost past.;;;;;;;;x
tb_oldidol_2_desc;Our collection of Old One relics grows, chief! Even now, our Custodians drone over the relics, making sure that each and every one is maintained, lest they be lost forever.;;;;;;;;x
ca_lizardman_keep_1;Pyramid-City;;;;;;;;x
ca_lizardman_keep_2;Pyramid-City;;;;;;;;x
ca_lizardman_keep_3;Pyramid-City;;;;;;;;x
ca_lizardman_keep_4;Pyramid-City;;;;;;;;x
ca_lizardman_keep_5;Pyramid-City;;;;;;;;x
ca_lizardman_keep_6;Pyramid-City;;;;;;;;x
ca_lizardman_keep_1_desc;Lizardmen Pyramid-Cities are heavily armed and fortified cities shaped like pyramids, which dot the Lustrian and Southland jungles. A large majority of Old One relics and Lizardmen are stored or stocked up in these cities, leading some to call them 'Cities of gold' or 'Lost cities'.;;;;;;;;x
ca_lizwall_1;Pyramid Walls;;;;;;;;x
ca_lizwall_2;Pyramid Walls;;;;;;;;x
ca_lizwall_3;Pyramid Walls;;;;;;;;x
ca_lizwall_4;Pyramid Walls;;;;;;;;x
ca_lizwall_5;Pyramid Walls;;;;;;;;x
ca_lizwall_1_desc;Much like most of the Lizardmen's architecture, the Pyramid-City's walls are of Old one design, making them some of the more stronger structures in the world. They have to be, as more often than not these cities are full of relics, treasures, and sometimes even Slann themselves.;;;;;;;;x
ca_skink_armory_1;Skink Armory;;;;;;;;x
ca_skink_armory_2;Skink Armory;;;;;;;;x
ca_skink_armory_3;Skink Armory;;;;;;;;x
ca_skink_armory_4;Skink Armory;;;;;;;;x
ca_skink_armory_5;Skink Armory;;;;;;;;x
ca_skink_armory_6;Skink Armory;;;;;;;;x
ca_skink_armory_1_desc;While most Skinks are delegated to more civil tasks, such as Administrating and record keeping, Skinks are far from useless on the battlefield, and are often fielded in Lizardmen armies to act as light troops or skirmishers.;;;;;;;;x
ca_saurus_battleground_1;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_2;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_3;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_4;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_5;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_6;Saurus Battlegrounds;;;;;;;;x
ca_saurus_battleground_1_desc;Saurus warrior broods are the most common sights in a Lizardman army, making up a majority of it's forces. Sauri are, quite literally, bred for war, and as such, can wield the more heavier weapons, and are generally stronger than Skinks, making them the frontline heavy infantry of Lizardmen armies.;;;;;;;;x
ca_lizstable_1;Lizardman Stables;;;;;;;;x
ca_lizstable_2;Lizardman Stables;;;;;;;;x
ca_lizstable_3;Lizardman Stables;;;;;;;;x
ca_lizstable_4;Lizardman Stables;;;;;;;;x
ca_lizstable_5;Lizardman Stables;;;;;;;;x
ca_lizstable_6;Lizardman Stables;;;;;;;;x
ca_lizstable_1_desc;Like the rest of their armies, and realms for that matter, Lizardmen cavalry units are quadrupedal(or flying) reptilians that spawned from a Pyramid-City's spawning pool. Most Lizardman 'cavalry' units are cold ones, mounted by Saurus warriors, but Terradons can also be considered 'cavalry'.;;;;;;;;x
ca_krogixor_1;Kroxigor Section;;;;;;;;x
ca_krogixor_2;Kroxigor Section;;;;;;;;x
ca_krogixor_3;Kroxigor Section;;;;;;;;x
ca_krogixor_4;Kroxigor Section;;;;;;;;x
ca_krogixor_1_desc;Kroxigors are bigger, stronger, and dumber versions of Skinks, equivelent to giants in old world terms. In times of peace, they are used as construction workers, but in times of war, these lumbering beasts are used as heavy shock troops, sent crashing into enemy lines to great affect.;;;;;;;;x
ca_skink_artisans_1;Skink Artisans;;;;;;;;x
ca_skink_artisans_2;Skink Artisans;;;;;;;;x
ca_skink_artisans_3;Skink Artisans;;;;;;;;x
ca_skink_artisans_4;Skink Artisans;;;;;;;;x
ca_skink_artisans_5;Skink Artisans;;;;;;;;x
ca_skink_artisans_1_desc;While most Lizardman cities have large amounts of Old One relics, Skinks will still construct their own offerings, apparel, and trinkets in honor of the Old Ones.;;;;;;;;x
ca_treasuretrove_1;Treasure Trove;;;;;;;;x
ca_treasuretrove_2;Treasure Trove;;;;;;;;x
ca_treasuretrove_3;Treasure Trove;;;;;;;;x
ca_treasuretrove_4;Treasure Trove;;;;;;;;x
ca_treasuretrove_5;Treasure Trove;;;;;;;;x
ca_treasuretrove_6;Treasure Trove;;;;;;;;x
ca_treasuretrove_1_desc;Every Pyramid-City of the Lizardmen has a specific section devoted to the storage and upkeep of Old One and Skink relics and trinkets. More often than not, however, these areas are targeted by plundering adventurers, seeking riches and fame.;;;;;;;;x
ca_oldidol_1;Refurbished Idols;;;;;;;;x
ca_oldidol_2;Complete Idols;;;;;;;;x
ca_lostsanctuary_1;Lost Lizardman Sanctuary;;;;;;;;x
ca_lostsanctuary_2;Lost Lizardman Sanctuary;;;;;;;;x
ca_lostsanctuary_3;Lost Lizardman Sanctuary;;;;;;;;x
ca_lostsanctuary_4;Lost Lizardman Sanctuary;;;;;;;;x
ca_lostsanctuary_5;Lost Lizardman Sanctuary;;;;;;;;x
ca_lostsanctuary_1_desc;The Lost Lizardmen are an off-shoot of the Southland Lizardmen created by the Old Ones long ago to keep the Eastern lands in check, but have long since lost their Slann, sending them into a serious regression of skills. These Sanctuaries are all that remains of any serious Old One influence.;;;;;;;;x
ca_lizscar_1;Scar-Guards;;;;;;;;x
ca_lizscar_2;Scar-Guards;;;;;;;;x
ca_lizscar_3;Scar-Guards;;;;;;;;x
ca_lizscar_4;Scar-Guards;;;;;;;;x
ca_lizscar_1_desc;Scar-Guards are the elite of the elite, the finest of all Saurus warriors. They also happen to be the oldest, and are generally bodyguards for high-ranking skinks or for their Slann overlords.;;;;;;;;x
ca_southmon_1;Southland Monsters;;;;;;;;x
